  #species On-site_electrostatic_potential [eV]
  S    1621.47928268
  S    1621.48291841
  S    1621.45359323
  S    1621.46829992
  S    1621.31129781
  S    1621.30427400
  S    1621.33004817
  S    1621.27711464
  S    1621.26807495
  S    1621.31092253
  S    1621.26054337
  S    1621.29847643
  S    1621.37476909
  S    1621.26311658
  S    1621.39109556
  S    1621.43649456
  S    1621.37033816
  S    1621.35504919
  S    1621.34198986
  S    1621.36398747
  S    1621.14627835
  S    1621.18650366
  S    1621.25312564
  S    1621.28062855
  S    1620.83342533
  S    1621.24095120
  S    1621.15399796
  S    1621.25052817
  S    1621.01982285
  S    1621.37825678
  S    1621.33571741
  S    1621.28431081
  S    1621.32795685
  S    1621.30775096
  S    1621.30837726
  S    1621.32852522
  S    1621.10844265
  S    1621.26027847
  S    1621.26595208
  S    1621.18716822
  S    1621.27537118
  S    1621.27999712
  S    1621.14650286
  S    1621.30762602
  S    1621.44815942
  S    1621.46438042
  S    1621.43846726
  S    1621.38476541
  S    1621.40917475
  S    1621.36176479
  S    1621.41264785
  S    1621.42112965
  S    1621.26929440
  S    1621.31141127
  S    1621.32494237
  S    1621.33316721
  S    1621.30149957
  S    1621.32954659
  S    1621.34126866
  S    1621.31549650
  S    1621.43279179
  S    1621.45384208
  S    1621.42276718
  S    1621.44884579
  Cu    3753.57659399
  Cu    3753.54692454
  Cu    3753.57947923
  Cu    3753.59325081
  Cu    3753.51025298
  Cu    3753.55052378
  Cu    3753.53740916
  Cu    3753.57118016
  Cu    3753.51264047
  Cu    3753.54829679
  Cu    3753.55021000
  Cu    3753.56428642
  Cu    3753.48234920
  Cu    3753.53672173
  Cu    3753.45388620
  Cu    3753.53383271
  Cu    3753.35962582
  Cu    3753.46529219
  Cu    3753.45311442
  Cu    3753.50215755
  Cu    3753.20429789
  Cu    3753.42735606
  Cu    3753.52669256
  Cu    3753.46626842
  Cu    3753.14252859
  Cu    3753.47623743
  Cu    3753.48822125
  Cu    3753.52737000
  Cu    3753.38895553
  Cu    3753.48537880
  Cu    3753.54535065
  Cu    3753.49458253
  Cu    3753.42865788
  Cu    3753.51977617
  Cu    3753.39333056
  Cu    3753.51235898
  Cu    3753.52376454
  Cu    3753.57101761
  Cu    3753.55868641
  Cu    3753.52779435
  Cu    3753.54713178
  Cu    3753.58628051
  Cu    3753.56356550
  Cu    3753.57518940
  Cu    3753.55958916
  Cu    3753.54711324
  Cu    3753.58801823
  Cu    3753.57182948
  As    4515.47395579
  As    4515.39569149
  As    4515.44657584
  As    4515.48546477
  As    4515.32704490
  As    4515.42901595
  As    4515.44636780
  As    4515.34378850
  As    4515.50040613
  As    4515.51807949
  As    4515.44843623
  As    4515.50031559
  As    4515.52949984
  As    4515.50570833
  As    4515.52125763
  As    4515.53439474
  Cu    3753.01591922
