  #species On-site_electrostatic_potential [eV]
  S    1621.36649930
  S    1621.36165519
  S    1621.47824840
  S    1621.47665130
  S    1621.25206478
  S    1621.36172539
  S    1621.22833901
  S    1621.70546731
  S    1621.73693376
  S    1621.24029454
  S    1621.41002686
  S    1621.22993039
  S    1621.36336490
  S    1621.78858613
  S    1621.48116108
  S    1621.34774914
  S    1621.33641250
  S    1621.36464644
  S    1621.42767164
  S    1621.45659522
  S    1621.32959300
  S    1621.35074350
  S    1621.21893004
  S    1621.22755640
  S    1621.26016021
  S    1621.20942981
  S    1621.21271891
  S    1621.20196011
  S    1621.30865895
  S    1621.29368401
  S    1621.30358435
  S    1621.30891567
  S    1621.32095811
  S    1621.34500226
  S    1621.31699822
  S    1621.33607109
  S    1621.22361439
  S    1621.19362894
  S    1621.18745456
  S    1621.19566083
  S    1621.21709472
  S    1621.18962182
  S    1621.20948187
  S    1621.19061879
  S    1621.33305452
  S    1621.31852220
  S    1621.33040278
  S    1621.33600030
  S    1621.29400124
  S    1621.30887230
  S    1621.31447641
  S    1621.29996488
  S    1621.22957913
  S    1621.25226166
  S    1621.20635025
  S    1621.21197375
  S    1621.34341096
  S    1621.22441369
  S    1621.21872844
  S    1621.32978830
  S    1621.79291876
  S    1621.34598319
  S    1621.43085827
  S    1621.32492845
  Cu    3753.49258294
  Cu    3753.60298636
  Cu    3753.59562611
  Cu    3753.49643142
  Cu    3753.50161632
  Cu    3753.53304122
  Cu    3753.44968423
  Cu    3753.58614337
  Cu    3753.57659566
  Cu    3753.50574770
  Cu    3753.50160501
  Cu    3753.62573982
  Cu    3753.47466582
  Cu    3753.58263620
  Cu    3753.50839741
  Cu    3753.47968124
  Cu    3753.48195255
  Cu    3753.46583557
  Cu    3753.46851907
  Cu    3753.57429831
  Cu    3753.48419729
  Cu    3753.43413447
  Cu    3753.45100110
  Cu    3753.47865212
  Cu    3753.48248328
  Cu    3753.45124152
  Cu    3753.45120324
  Cu    3753.45033134
  Cu    3753.42873196
  Cu    3753.41961731
  Cu    3753.42591548
  Cu    3753.42369834
  Cu    3753.42083233
  Cu    3753.43655174
  Cu    3753.43209663
  Cu    3753.48551372
  Cu    3753.44908749
  Cu    3753.44852216
  Cu    3753.47926277
  Cu    3753.48241832
  Cu    3753.46162534
  Cu    3753.46407294
  Cu    3753.47481435
  Cu    3753.45595084
  Cu    3753.57459588
  Cu    3753.43537231
  Cu    3753.48140094
  As    4515.42751239
  As    4515.61057939
  As    4515.62429583
  As    4515.43654424
  As    4515.42171822
  As    4515.39254549
  As    4515.39414009
  As    4515.40972172
  As    4515.41743157
  As    4515.39844036
  As    4515.41309721
  As    4515.39214481
  As    4515.43508624
  As    4515.60401626
  As    4515.60554138
  As    4515.43333835
