#Numerical average free-atom electrostatic potential in [eV]:   -14.39796374
#Average real-space part of the electrostatic  potential in [eV]:     0.07724017
  #z-coordinate (Ang)  plane-average (hartree)
  6.166468719999967E-002  -1.61351442171124     
  0.184994061600000      -0.879478010215376     
  0.308323436000000      -0.562084576677879     
  0.431652810400000      -0.381945686248396     
  0.554982184800000      -0.274051898437616     
  0.678311559200000      -0.204387043835973     
  0.801640933599999      -0.157521660692064     
  0.924970308000000      -0.126519580974363     
   1.04829968240000      -0.108303702299347     
   1.17162905680000      -0.101857090747168     
   1.29495843120000      -0.107565446287499     
   1.41828780560000      -0.127003628466171     
   1.54161718000000      -0.162872281745027     
   1.66494655440000      -0.218901564772745     
   1.78827592880000      -0.299691887899037     
   1.91160530320000      -0.411224693667284     
   2.03493467760000      -0.565623508212346     
   2.15826405200000      -0.787852374945818     
   2.28159342640000       -1.00242860728860     
   2.40492280080000      -0.948867958392343     
   2.52825217520000      -0.758926861859124     
   2.65158154960000      -0.686323844353279     
   2.77491092400000      -0.710920743261888     
   2.89824029840000      -0.869832222732864     
   3.02156967280000       -1.23817554332068     
   3.14489904720000       -1.61100338419328     
   3.26822842160000      -0.879470421203449     
   3.39155779600000      -0.562082042254438     
   3.51488717040000      -0.381944547754359     
   3.63821654480000      -0.274051538274174     
   3.76154591920000      -0.204386933044963     
   3.88487529360000      -0.157521585795072     
   4.00820466800000      -0.126519464937430     
   4.13153404240000      -0.108303508947741     
   4.25486341680000      -0.101856793238106     
   4.37819279120000      -0.107565020066716     
   4.50152216560000      -0.127003052512490     
   4.62485154000000      -0.162871542826334     
   4.74818091440000      -0.218900668441217     
   4.87151028880000      -0.299690872167349     
   4.99483966320000      -0.411223586417855     
   5.11816903760000      -0.565621970171653     
   5.24149841200000      -0.787848257384667     
   5.36482778640000       -1.00243168708844     
   5.48815716080000      -0.948843955746228     
   5.61148653520000      -0.758924352961597     
   5.73481590960000      -0.686327483958162     
   5.85814528400000      -0.710931654529281     
   5.98147465840000      -0.869853659234307     
   6.10480403280000       -1.23820909009765     
   6.22813340720000       -1.61351422526365     
   6.35146278160000      -0.879477877803947     
   6.47479215600000      -0.562084504710147     
   6.59812153040000      -0.381945652161631     
   6.72145090480000      -0.274051883409034     
   6.84478027920000      -0.204387037728545     
   6.96810965360000      -0.157521659009019     
   7.09143902800000      -0.126519581875331     
   7.21476840240000      -0.108303705140145     
   7.33809777680000      -0.101857095468074     
   7.46142715120000      -0.107565453190443     
   7.58475652560000      -0.127003638169682     
   7.70808590000000      -0.162872295204679     
   7.83141527440000      -0.218901583270898     
   7.95474464880000      -0.299691912823881     
   8.07807402320000      -0.411224725572668     
   8.20140339760000      -0.565623544970208     
   8.32473277200000      -0.787852449191427     
   8.44806214640000       -1.00242880814783     
   8.57139152080000      -0.948867863165783     
   8.69472089520000      -0.758926843797316     
   8.81805026960000      -0.686323877298079     
   8.94137964400000      -0.710920842067117     
   9.06470901840000      -0.869832434758184     
   9.18803839280000       -1.23817590619797     
   9.31136776720000       -1.61100100925994     
   9.43469714160000      -0.879470121228831     
   9.55802651600000      -0.562081874954938     
   9.68135589040000      -0.381944452268217     
   9.80468526480000      -0.274051479292893     
   9.92801463920000      -0.204386893784058     
   10.0513440136000      -0.157521558640610     
   10.1746733880000      -0.126519446237590     
   10.2980027624000      -0.108303496855892     
   10.4213321368000      -0.101856786879879     
   10.5446615112000      -0.107565019225067     
   10.6679908856000      -0.127003057505961     
   10.7913202600000      -0.162871554439857     
   10.9146496344000      -0.218900687832485     
   11.0379790088000      -0.299690900749729     
   11.1613083832000      -0.411223626118461     
   11.2846377576000      -0.565622025923598     
   11.4079671320000      -0.787848340182984     
   11.5312965064000       -1.00243178741712     
   11.6546258808000      -0.948843828289583     
   11.7779552552000      -0.758924261843518     
   11.9012846296000      -0.686327406624197     
   12.0246140040000      -0.710931569998850     
   12.1479433784000      -0.869853550671686     
   12.2712727528000       -1.23820889971436     
